时间戳,入口温度_℃,入口粉尘浓度_g_Nm3,烟气流量_Nm3_h,电场1电压_kV,电场2电压_kV,电场3电压_kV,电场4电压_kV,电场1振打周期_s,电场2振打周期_s,电场3振打周期_s,电场4振打周期_s,出口粉尘浓度_mg_Nm3,总电耗_kW,出口浓度原始缺失标记,右删失标记,未删失标记,入口粉尘负荷_kg_h,电场1振打频率_次_分钟,电场1_5分钟平均振打频率_次_分钟,电场2振打频率_次_分钟,电场2_5分钟平均振打频率_次_分钟,电场3振打频率_次_分钟,电场3_5分钟平均振打频率_次_分钟,电场4振打频率_次_分钟,电场4_5分钟平均振打频率_次_分钟,入口温度_℃_滞后1分钟,入口温度_℃_滞后3分钟,入口温度_℃_滞后5分钟,入口粉尘浓度_g_Nm3_滞后1分钟,入口粉尘浓度_g_Nm3_滞后3分钟,入口粉尘浓度_g_Nm3_滞后5分钟,烟气流量_Nm3_h_滞后1分钟,烟气流量_Nm3_h_滞后3分钟,烟气流量_Nm3_h_滞后5分钟,入口粉尘负荷_kg_h_滞后1分钟,入口粉尘负荷_kg_h_滞后3分钟,入口粉尘负荷_kg_h_滞后5分钟,电场1电压_kV_滞后1分钟,电场1电压_kV_滞后3分钟,电场1电压_kV_滞后5分钟,电场2电压_kV_滞后1分钟,电场2电压_kV_滞后3分钟,电场2电压_kV_滞后5分钟,电场3电压_kV_滞后1分钟,电场3电压_kV_滞后3分钟,电场3电压_kV_滞后5分钟,电场4电压_kV_滞后1分钟,电场4电压_kV_滞后3分钟,电场4电压_kV_滞后5分钟,数据集,入口温度_℃_标准化,入口粉尘浓度_g_Nm3_标准化,烟气流量_Nm3_h_标准化,入口粉尘负荷_kg_h_标准化,电场1电压_kV_标准化,电场2电压_kV_标准化,电场3电压_kV_标准化,电场4电压_kV_标准化,电场1_5分钟平均振打频率_次_分钟_标准化,电场2_5分钟平均振打频率_次_分钟_标准化,电场3_5分钟平均振打频率_次_分钟_标准化,电场4_5分钟平均振打频率_次_分钟_标准化,入口温度_℃_滞后1分钟_标准化,入口温度_℃_滞后3分钟_标准化,入口温度_℃_滞后5分钟_标准化,入口粉尘浓度_g_Nm3_滞后1分钟_标准化,入口粉尘浓度_g_Nm3_滞后3分钟_标准化,入口粉尘浓度_g_Nm3_滞后5分钟_标准化,烟气流量_Nm3_h_滞后1分钟_标准化,烟气流量_Nm3_h_滞后3分钟_标准化,烟气流量_Nm3_h_滞后5分钟_标准化,入口粉尘负荷_kg_h_滞后1分钟_标准化,入口粉尘负荷_kg_h_滞后3分钟_标准化,入口粉尘负荷_kg_h_滞后5分钟_标准化,电场1电压_kV_滞后1分钟_标准化,电场1电压_kV_滞后3分钟_标准化,电场1电压_kV_滞后5分钟_标准化,电场2电压_kV_滞后1分钟_标准化,电场2电压_kV_滞后3分钟_标准化,电场2电压_kV_滞后5分钟_标准化,电场3电压_kV_滞后1分钟_标准化,电场3电压_kV_滞后3分钟_标准化,电场3电压_kV_滞后5分钟_标准化,电场4电压_kV_滞后1分钟_标准化,电场4电压_kV_滞后3分钟_标准化,电场4电压_kV_滞后5分钟_标准化,电场1电压_振打交互项,电场2电压_振打交互项,电场3电压_振打交互项,电场4电压_振打交互项
2024-05-07 00:00:00,123.2,39.06,463996,58.2,58.0,46.1,44.8,184,202,434,458,50.0,1801.1,0,1,0,18123.68376,0.32608695652173914,0.29427473108520463,0.297029702970297,0.28271553772339486,0.1382488479262673,0.13375575620963379,0.13100436681222707,0.13160457627497135,125.9,124.0,123.7,33.46,32.12,32.01,454708.0,450231.0,449993.0,15214.52968,14461.419719999998,14404.27593,59.8,54.6,58.5,57.9,55.8,53.7,42.3,42.1,45.6,44.5,45.1,45.0,测试集,-0.487411787875209,0.2514902358887018,0.0034233809071321764,0.2766616202329317,-0.07135079630629852,-0.11555060202419454,-1.2750167332500983,-1.7401041914322353,3.099808674178611,2.2277241105885994,-0.5351670129541009,-0.8278940009649735,-0.018251570155500114,-0.34806410719400543,-0.3998488461597654,-0.3637891213474624,-0.5112946319489511,-0.5237562921754497,-0.4118745074737259,-0.6120165196207111,-0.6226290270927729,-0.4378821740135006,-0.6231615768222925,-0.6376097771603201,0.26019155401246485,-0.8180623590777378,-0.009802039941205732,-0.13636269841150128,-0.5695852077743557,-1.0031094166420889,-2.611530334076441,-2.6831726245343326,-1.4534865564681192,-1.8464703694947964,-1.6351799712430077,-1.6711771609812627,-0.22117381729981536,-0.257414862122326,0.6823468965999507,1.4406218211407533
2024-05-07 00:01:00,123.4,33.11,456356,58.4,59.3,42.1,40.9,217,222,443,447,50.0,1683.8,0,1,0,15109.94716,0.2764976958525346,0.2964769251229682,0.2702702702702703,0.28172372021781583,0.13544018058690746,0.13429511976064357,0.1342281879194631,0.13297250685249457,123.2,126.2,123.9,39.06,36.25,38.13,463996.0,472653.0,457769.0,18123.68376,17133.67125,17454.73197,58.2,56.2,59.8,58.0,57.3,59.5,46.1,42.2,46.4,44.8,46.5,43.4,测试集,-0.4526707605752877,-0.40193241150484565,-0.33817943904765196,-0.463234651236369,-0.02988953700236961,0.152505716739176,-2.68174849683656,-3.116606790092332,3.263998253728403,2.154389350644097,-0.4611442204783318,-0.6419658960121927,-0.4872643207947196,0.03407367466415143,-0.36510541496798765,0.25128379791435146,-0.05766027204649286,0.14850538138243546,0.003387433294202149,0.3903577914465356,-0.27504698098954705,0.2764531635430384,0.03304180801463496,0.11153477760864478,-0.07150271472352486,-0.4863727170907308,0.2596964332806836,-0.11574187192189063,-0.2602877534712205,0.19299087183089647,-1.2751426904363612,-2.647993844284696,-1.1718783980027951,-1.7405715287246355,-1.1409248795437075,-2.2361357543902716,-0.09755939658048489,0.328556692055226,1.2366728200926336,2.0007552705193077
2024-05-07 00:02:00,125.5,37.91,455264,59.4,56.2,43.3,39.5,213,229,450,439,49.57,1667.7,0,0,1,17259.05824,0.28169014084507044,0.2987608992379282,0.26200873362445415,0.27412546694270673,0.13333333333333333,0.1338124651603419,0.1366742596810934,0.13364069212204657,123.4,125.9,124.0,33.11,33.46,32.12,456356.0,454708.0,450231.0,15109.94716,15214.52968,14461.419719999998,58.4,59.8,54.6,59.3,57.9,55.8,42.1,42.3,42.1,40.9,44.5,45.1,测试集,-0.08788997392611989,0.12519846370339374,-0.38700539184747185,0.06438918790914926,0.1774167595172794,-0.4867055049273232,-2.259728967760623,-3.610735928072879,3.434285132726009,1.5925762380570672,-0.5273842199160355,-0.5511466519902426,-0.45252263556218436,-0.018036022861960314,-0.3477336993721,-0.40223117880132586,-0.3641106023437949,-0.5116731575199976,-0.3381932328844122,-0.4118724740115744,-0.6119905848380702,-0.4635621440915081,-0.4382264016120443,-0.6235761511857069,-0.030040931131526876,0.2599289773800331,-0.8182974596068752,0.1523288724430432,-0.1365687717499661,-0.570038622539802,-2.68186652584697,-2.6128150640350616,-2.6855222497539164,-3.11725645873674,-1.84700358197128,-1.6358672488931991,0.6092997395066183,-0.7751156220788217,1.1917453988841042,1.9900450179782487
2024-05-07 00:03:00,126.5,35.53,444970,56.2,59.3,42.0,42.8,215,185,460,463,49.53,1725.5,0,0,1,15809.784099999999,0.27906976744186046,0.2951689121322409,0.32432432432432434,0.2881428741804529,0.13043478260869565,0.13398149511620633,0.12958963282937366,0.1321613584139487,125.5,123.2,126.2,37.91,39.06,36.25,455264.0,463996.0,472653.0,17259.05824,18123.68376,17133.67125,59.4,58.2,56.2,56.2,58.0,57.3,43.3,46.1,42.2,39.5,44.8,46.5,测试集,0.08581516257348432,-0.1361705952540246,-0.8472749505666535,-0.29141912411217236,-0.4859633893455965,0.152505716739176,-2.716916790926222,-2.446002959975875,3.166476373589592,2.6290201292387634,-0.5041863799401668,-0.7522165874524773,-0.08773494062057058,-0.4870233005969709,0.034444043737449914,0.12497418056594269,0.2509868348120805,-0.058006374547111106,-0.38701601920208856,0.003347069347295801,0.39025795396420987,0.06414658035608015,0.27615124318554585,0.03268725875103678,0.17726798682846742,-0.0717606646069724,-0.48660703102608727,-0.48691674873487617,-0.11594894146309011,-0.26070234103816775,-2.259849375223789,-1.2760214145488806,-2.6503212299457504,-3.611451048997495,-1.741091776607145,-1.1415284796603171,-1.5387915907923515,0.4009405991312788,1.369832441415747,1.839923999451711
2024-05-07 00:04:00,126.5,35.72,465103,60.1,57.6,47.4,44.1,230,193,449,437,50.0,1780.3,0,1,0,16613.47916,0.2608695652173913,0.2848428251757192,0.31088082901554404,0.292902772040978,0.133630289532294,0.13421748679749954,0.13729977116704806,0.13375924368184106,126.5,123.4,125.9,35.53,33.11,33.46,444970.0,456356.0,454708.0,15809.784099999999,15109.94716,15214.52968,56.2,58.4,59.8,59.3,59.3,57.9,42.0,42.1,42.3,42.8,40.9,44.5,测试集,0.08581516257348432,-0.11530499811036538,0.052920019871784796,-0.09410560364980151,0.3225311670810343,-0.19802946933600074,-0.8178289100844993,-1.9871687604225077,2.396591501179487,2.980965890428137,-0.47179864588273857,-0.5350332123069993,0.08597348554210311,-0.45228350224622893,-0.017671103050215426,-0.13643181012032762,-0.4025541921660372,-0.3644786080808526,-0.8472557283176195,-0.33819872213222274,-0.41187165217292854,-0.2917189749014339,-0.46390789261254733,-0.438624059341671,-0.48612055064351345,-0.030299459358597444,0.2596964332806836,0.1523288724430432,0.15210885226629323,-0.13696782843751373,-2.7170346217322354,-2.6831726245343326,-2.6151202101375866,-2.446563800525715,-3.1179452463409105,-1.8477267214215778,0.772975453891908,-0.5903190933902028,0.38585057234162273,1.0632012852849722
2024-05-07 00:05:00,123.4,30.18,470777,59.7,63.2,42.9,44.5,212,201,462,425,50.0,1816.8,0,1,0,14208.04986,0.2830188679245283,0.276229207456277,0.29850746268656714,0.293198323984232,0.12987012987012986,0.13254174318627204,0.1411764705882353,0.13579366443704272,126.5,125.5,123.2,35.72,37.91,39.06,465103.0,455264.0,463996.0,16613.47916,17259.05824,18123.68376,60.1,59.4,58.2,57.6,56.2,58.0,47.4,43.3,46.1,44.1,39.5,44.8,测试集,-0.4526707605752877,-0.7237018832465419,0.3066182398224975,-0.6846576015759008,0.23960864847317498,0.9566746730292905,-2.4004021441192687,-1.8459890067137803,1.7543836632207066,3.0028189336419815,-0.7017793728789519,-0.2585162589568349,0.08597348554210311,-0.08751561956344428,-0.4867074241392084,-0.11556326464537349,0.12467218253899835,0.2506627925603493,0.052880862281077294,-0.38701652374159895,0.003295791783702364,-0.09437371019904904,0.0638320859240327,0.2758189319482206,0.322384229400464,0.17700656688328176,-0.07199399530010281,-0.1982251778803317,-0.4871058866268519,-0.11634540967073782,-0.8179574439279145,-2.2610272615386986,-1.277481457427291,-1.9876688238550118,-3.612200338040211,-1.7417969851573898,0.4203654984477313,2.8727208215081057,1.6845527113573118,0.47721817209109
2024-05-07 00:06:00,126.4,29.61,453121,58.5,54.8,47.3,44.4,213,235,451,465,50.0,1692.2,0,1,0,13416.91281,0.28169014084507044,0.2772676964547842,0.2553191489361702,0.290208099717412,0.13303769401330376,0.13206124587155132,0.12903225806451613,0.13475447846605332,123.4,126.5,123.4,30.18,35.53,33.11,470777.0,444970.0,456356.0,14208.04986,15809.784099999999,15109.94716,59.7,56.2,58.4,63.2,59.3,59.3,42.9,42.0,42.1,44.5,42.8,40.9,测试集,0.06844464892352488,-0.7862986746775205,-0.48282408859656906,-0.8788880308430841,-0.009158907350404415,-0.775381540518647,-0.8529972041741614,-1.8812839451409629,1.831810569800268,2.781722433979526,-0.7677233042887535,-0.39976164191289754,-0.45252263556218436,0.08618337219026316,-0.4519639929474307,-0.7240461169150962,-0.1367442282522481,-0.40292494562092784,0.30656262928336236,-0.8472092433083743,-0.3382071444596934,-0.6850207174499985,-0.2920545458350017,-0.46430789951332485,0.23946066221646659,-0.4863727170907308,-0.03053269172750525,0.9565411055378475,0.15210885226629323,0.15174603429734465,-2.400521758764849,-2.7183514047839696,-2.6855222497539164,-1.8464703694947964,-2.4471704790347175,-3.1188835565918476,-0.016777383292292173,-2.156896226154325,0.6548658321376557,0.7520651588139248
2024-05-07 00:07:00,122.3,34.59,448152,59.0,58.3,43.9,42.9,193,204,442,461,49.48,1749.1,0,0,1,15501.577680000002,0.31088082901554404,0.2831058340888789,0.29411764705882354,0.2966298824042859,0.13574660633484162,0.132543900471853,0.1301518438177874,0.13344999529339213,126.4,126.5,125.5,29.61,35.72,37.91,453121.0,465103.0,455264.0,13416.91281,16613.47916,17259.05824,58.5,60.1,59.4,54.8,57.6,56.2,47.3,47.4,43.3,44.4,44.1,39.5,测试集,-0.6437464107248538,-0.2394003916489713,-0.7050000588001453,-0.36708624810731477,0.09449424090942009,-0.053691451540340246,-2.048719203222653,-2.4107080215486922,2.267086184509176,3.25654757984416,-0.7014833048510499,-0.5770660228668131,0.06860264292583673,0.08618337219026316,-0.08715796543377086,-0.7866517533399594,-0.11587485092017402,0.12433911207153045,-0.4828285018749643,0.052835445154603006,-0.3870188206871526,-0.8792823949425959,-0.09469759315745295,0.06348035314926646,-0.009310039335527154,0.3221207852525978,0.17677382613548698,-0.7756083195894221,-0.19842826261059257,-0.4875489474726984,-0.8531255398131802,-0.8186972713036098,-2.26311001205593,-1.8817699830848509,-1.988219322456794,-3.61322232582473,0.21422658808142805,-0.17484876657201504,1.4371423173884366,1.3911376902882273
2024-05-07 00:08:00,124.6,35.77,467006,60.4,59.3,43.0,44.7,229,228,451,459,50.0,1713.1,0,1,0,16704.804620000003,0.26200873362445415,0.27969362732539765,0.2631578947368421,0.28439659648678944,0.13303769401330376,0.1330644827527746,0.13071895424836602,0.13367585957719058,122.3,123.4,126.5,34.59,30.18,35.53,448152.0,470777.0,444970.0,15501.577680000002,14208.04986,15809.784099999999,59.0,59.7,56.2,58.3,63.2,59.3,43.9,42.9,42.0,42.9,44.5,42.8,测试集,-0.24422459677576464,-0.10981405149361241,0.1380077379835589,-0.07168447788047533,0.38472305603692836,0.152505716739176,-2.3652338500296066,-1.7753991298594154,2.0126813572207025,2.352021211791883,-0.630038072641571,-0.5463667176877459,-0.6436019043411269,-0.45228350224622893,0.08655919052511525,-0.23967619299641754,-0.7243819583922362,-0.13709598320097977,-0.7049900634249033,0.30649131175863287,-0.8471537978716442,-0.3673982723925417,-0.6853795820815719,-0.2924388327402223,0.09434441964446999,0.2391983747558464,-0.48660703102608727,-0.053879392453060206,0.9562822334544461,0.15174603429734465,-2.048840799912197,-2.4017423825372433,-2.7207232695620824,-2.411264186935661,-1.84700358197128,-2.4479952269186502,0.7743249225785014,0.3586966806900664,1.490187376219256,0.970018995166969
2024-05-07 00:09:00,125.6,32.36,447475,56.9,57.2,45.6,43.9,208,212,459,447,49.6,1722.3,0,0,1,14480.291,0.28846153846153844,0.28521202197422707,0.2830188679245283,0.2788242042685863,0.13071895424836602,0.132482215695989,0.1342281879194631,0.13306154292767358,124.6,126.4,126.5,35.77,29.61,35.72,467006.0,453121.0,465103.0,16704.804620000003,13416.91281,16613.47916,60.4,58.5,60.1,59.3,54.8,57.6,43.0,47.3,47.4,44.7,44.4,44.1,测试集,-0.07051946027616045,-0.4842966107561331,-0.7352703610395941,-0.617820239469819,-0.3408489817818431,-0.28050833664780694,-1.4508582036984061,-2.057758637276873,2.424117807253633,1.9399998032768437,-0.7099489851035364,-0.629864179008073,-0.2440725241669779,0.0688134730148934,0.08655919052511525,-0.11007154215196396,-0.7869900903884592,-0.11622511425065353,0.13796306224677143,-0.4828192241526733,0.052777958069231044,-0.07194897726891533,-0.8796527649207266,-0.0950638271677059,0.38457690478846174,-0.00956885673440923,0.32188838863958213,0.1523288724430432,-0.7757835106431127,-0.19883508473784,-2.3653536628795835,-0.8538760515532465,-0.8198681999211387,-1.7758711423146876,-1.882307517092659,-1.9889663697738293,-0.826258086321635,-0.5441861179142601,1.0300353092448233,1.2961084546651687
