时间戳,入口温度_℃,入口粉尘浓度_g_Nm3,烟气流量_Nm3_h,电场1电压_kV,电场2电压_kV,电场3电压_kV,电场4电压_kV,电场1振打周期_s,电场2振打周期_s,电场3振打周期_s,电场4振打周期_s,出口粉尘浓度_mg_Nm3,总电耗_kW,出口浓度原始缺失标记,右删失标记,未删失标记,入口粉尘负荷_kg_h,电场1振打频率_次_分钟,电场1_5分钟平均振打频率_次_分钟,电场2振打频率_次_分钟,电场2_5分钟平均振打频率_次_分钟,电场3振打频率_次_分钟,电场3_5分钟平均振打频率_次_分钟,电场4振打频率_次_分钟,电场4_5分钟平均振打频率_次_分钟,入口温度_℃_滞后1分钟,入口温度_℃_滞后3分钟,入口温度_℃_滞后5分钟,入口粉尘浓度_g_Nm3_滞后1分钟,入口粉尘浓度_g_Nm3_滞后3分钟,入口粉尘浓度_g_Nm3_滞后5分钟,烟气流量_Nm3_h_滞后1分钟,烟气流量_Nm3_h_滞后3分钟,烟气流量_Nm3_h_滞后5分钟,入口粉尘负荷_kg_h_滞后1分钟,入口粉尘负荷_kg_h_滞后3分钟,入口粉尘负荷_kg_h_滞后5分钟,电场1电压_kV_滞后1分钟,电场1电压_kV_滞后3分钟,电场1电压_kV_滞后5分钟,电场2电压_kV_滞后1分钟,电场2电压_kV_滞后3分钟,电场2电压_kV_滞后5分钟,电场3电压_kV_滞后1分钟,电场3电压_kV_滞后3分钟,电场3电压_kV_滞后5分钟,电场4电压_kV_滞后1分钟,电场4电压_kV_滞后3分钟,电场4电压_kV_滞后5分钟,数据集,入口温度_℃_标准化,入口粉尘浓度_g_Nm3_标准化,烟气流量_Nm3_h_标准化,入口粉尘负荷_kg_h_标准化,电场1电压_kV_标准化,电场2电压_kV_标准化,电场3电压_kV_标准化,电场4电压_kV_标准化,电场1_5分钟平均振打频率_次_分钟_标准化,电场2_5分钟平均振打频率_次_分钟_标准化,电场3_5分钟平均振打频率_次_分钟_标准化,电场4_5分钟平均振打频率_次_分钟_标准化,入口温度_℃_滞后1分钟_标准化,入口温度_℃_滞后3分钟_标准化,入口温度_℃_滞后5分钟_标准化,入口粉尘浓度_g_Nm3_滞后1分钟_标准化,入口粉尘浓度_g_Nm3_滞后3分钟_标准化,入口粉尘浓度_g_Nm3_滞后5分钟_标准化,烟气流量_Nm3_h_滞后1分钟_标准化,烟气流量_Nm3_h_滞后3分钟_标准化,烟气流量_Nm3_h_滞后5分钟_标准化,入口粉尘负荷_kg_h_滞后1分钟_标准化,入口粉尘负荷_kg_h_滞后3分钟_标准化,入口粉尘负荷_kg_h_滞后5分钟_标准化,电场1电压_kV_滞后1分钟_标准化,电场1电压_kV_滞后3分钟_标准化,电场1电压_kV_滞后5分钟_标准化,电场2电压_kV_滞后1分钟_标准化,电场2电压_kV_滞后3分钟_标准化,电场2电压_kV_滞后5分钟_标准化,电场3电压_kV_滞后1分钟_标准化,电场3电压_kV_滞后3分钟_标准化,电场3电压_kV_滞后5分钟_标准化,电场4电压_kV_滞后1分钟_标准化,电场4电压_kV_滞后3分钟_标准化,电场4电压_kV_滞后5分钟_标准化,电场1电压_振打交互项,电场2电压_振打交互项,电场3电压_振打交互项,电场4电压_振打交互项
2024-05-06 00:00:00,133.0,24.95,461917,50.5,54.0,46.4,45.2,236,234,462,431,49.21,1602.6,0,0,1,11524.82915,0.2542372881355932,0.25146976093231793,0.2564102564102564,0.2597813572470858,0.12987012987012986,0.12911257285459518,0.13921113689095127,0.1312102886561608,132.5,129.8,133.0,20.91,24.37,25.39,458167.0,449643.0,454189.0,9580.27197,10957.79991,11531.85871,53.3,54.9,57.2,52.1,53.6,51.3,47.0,44.0,42.6,44.9,44.3,46.1,验证集,1.2148985498209115,-1.2980548993588532,-0.08953372153867883,-1.3434095969753028,-1.6676092795075963,-0.9403392751422595,-1.1695118509811147,-1.5989244377235055,-0.09161312223188789,0.5319760417216958,-1.1724021343735964,-0.8814852803590816,1.1282240425181453,0.6593900449774998,1.215720704257875,-1.7422114671931341,-1.3625455494414567,-1.2509413050762985,-0.25722430795647105,-0.6383030281796059,-0.435070608182133,-1.8213597322572983,-1.4835174051165363,-1.3430307670617536,-1.0873164127274981,-0.7558705512051747,-0.27930051316309507,-1.3323706348089004,-1.02322147408562,-1.4980474670447048,-0.9586298274689747,-2.0147757997912437,-2.509517150713088,-1.705271915134581,-1.9176114522140382,-1.2827681280125687,0.1527748927585599,-0.5002379654656278,1.3711381902654742,1.409428356259691
2024-05-06 00:01:00,132.9,24.76,464356,54.5,52.4,46.5,47.0,217,252,444,456,49.8,1640.2,0,0,1,11497.45456,0.2764976958525346,0.2559218424757062,0.23809523809523808,0.254768825918765,0.13513513513513514,0.13066189287525282,0.13157894736842105,0.1328854210456561,133.0,131.1,134.2,24.95,29.06,25.76,461917.0,471755.0,465467.0,11524.82915,13709.200299999999,11990.42992,50.5,53.2,51.8,54.0,56.1,52.5,46.4,45.4,43.5,45.2,48.9,45.0,验证集,1.1975280361709522,-1.3189204965025125,0.01951984886311677,-1.3501302762390448,-0.8383840934290004,-1.2702547443894858,-1.1343435568914526,-0.9636155460342308,0.24032193171670221,0.16135061959617816,-0.9597719072234961,-0.6538025339964666,1.2150782555994821,0.8851987342573164,1.4241812914085363,-1.2984802897256829,-0.8474014458234114,-1.210298033962505,-0.0895636406567585,0.35021274946373354,0.06904851681171743,-1.3438786943422178,-0.8078780692641808,-1.2304128107822343,-1.6677813830154815,-1.1082907958163684,-1.3987557096232544,-0.9405749315063042,-0.5077257169137278,-1.250578441843397,-1.1696384027805666,-1.5222728762963358,-2.192707972439598,-1.5993730743644177,-0.2936304366306212,-1.6711771609812627,-0.20148208485341354,-0.20495639005222846,1.088711079044394,0.630014285795569
2024-05-06 00:02:00,134.3,26.62,464548,52.9,54.7,43.7,45.9,242,226,481,434,49.53,1607.1,0,0,1,12366.26776,0.24793388429752067,0.257315848250873,0.26548672566371684,0.2556922580080301,0.12474012474012475,0.13018618900971843,0.1382488479262673,0.13450482186735208,132.9,132.5,129.8,24.76,20.91,24.37,464356.0,458167.0,449643.0,11497.45456,9580.27197,10957.79991,54.5,53.3,54.9,52.4,52.1,53.6,46.5,47.0,44.0,47.0,44.9,44.3,验证集,1.440715227270399,-1.1146572823593197,0.028104631772975217,-1.1368297352152168,-1.1700741678604392,-0.7960012573465975,-2.119055791401975,-1.351859868733233,0.34425519926248976,0.22962897746985916,-1.025057980879101,-0.43369478080765345,1.1977074129832157,1.1283773227125078,0.6598258051894414,-1.319348835200637,-1.7425878945413367,-1.362984917335946,0.019482857354974556,-0.25723806396868765,-0.6382737951143944,-1.3506004548438553,-1.8217858977293702,-1.4840106790808123,-0.8385457111755044,-1.0875601931921817,-0.7561055042479781,-1.27050815534007,-1.3325189283887553,-1.0237318354088647,-1.1344703068953008,-0.9594123923021545,-2.0167028733987697,-0.963980029743447,-1.705787841485766,-1.918346545597705,-0.40280411580868736,-0.1827849547892214,2.172155050904674,0.5862945694529227
2024-05-06 00:03:00,133.7,22.47,448485,53.8,50.3,46.9,44.6,240,236,466,468,49.93,1575.2,0,0,1,10077.45795,0.25,0.25491410152598215,0.2542372881355932,0.2504649492800085,0.12875536480686695,0.13072717793747837,0.1282051282051282,0.13411547874482024,134.3,133.0,131.1,26.62,24.95,29.06,464548.0,461917.0,471755.0,12366.26776,11524.82915,13709.200299999999,52.9,50.5,53.2,54.7,54.0,56.1,43.7,46.4,45.4,45.9,45.2,48.9,验证集,1.3364921453706324,-1.5704058515497772,-0.6901108259408595,-1.6987507221127973,-0.9834985009927553,-1.7032687977764702,-0.9936703805328071,-1.8106940682865977,0.1651875157692616,-0.15687703655886884,-0.9508121200746563,-0.4866140079513375,1.4408992096109599,1.2152268185893615,0.8856581079359904,-1.1150567584458204,-1.2988390291645984,-0.8478039942989398,0.02806708352071984,-0.08959451448593968,0.35011794915444944,-1.1372655975524268,-1.34427658051141,-0.8083095402577448,-1.1702399799114955,-1.668017066669443,-1.108526584615064,-0.7962291460790313,-0.9407421529381176,-0.5081713662394743,-2.119176991682726,-1.1704850737999728,-1.5238885960844515,-1.3522757792340412,-1.5998760361216287,-0.29409058954680467,-0.16246167414178592,0.2672037614583599,0.9447938411697888,0.8811090977426541
2024-05-06 00:04:00,134.0,20.21,466284,52.6,51.7,45.4,47.0,222,242,453,463,49.97,1598.8,0,0,1,9423.59964,0.2702702702702703,0.2597878277111837,0.24793388429752067,0.2524326785204651,0.13245033112582782,0.1301902171356169,0.12958963282937366,0.1333667386440283,133.7,132.9,132.5,22.47,24.76,20.91,448485.0,464356.0,458167.0,10077.45795,11497.45456,9580.27197,53.8,54.5,53.3,50.3,52.4,52.1,46.9,46.5,47.0,44.6,47.0,44.9,验证集,1.3886036863205158,-1.8185966386269898,0.10572537724961202,-1.859278130393341,-1.2322660568163333,-1.4145927621851462,-1.5211947918777302,-0.9636155460342308,0.5285592439034967,-0.011383585724467004,-1.024505156857361,-0.5883822046199584,1.3366741539133518,1.1978569194139919,1.128862126278432,-1.570869725398772,-1.3197084064966724,-1.74305442558926,-0.6901017961686889,0.019440850097639607,-0.25725664478210314,-1.6992769875538352,-1.3509987391161888,-1.822310114234485,-0.983661953747501,-0.8387929617019261,-1.0877959328287659,-1.7035455116218874,-1.2706594375281288,-1.333068116910499,-0.9937979233542406,-1.135306293550336,-0.9606722791538007,-1.8111707559047419,-0.9644052039368145,-1.7064870730693262,-0.6513256152787845,0.01610313797354518,1.5584719088632948,0.5669742393816858
2024-05-06 00:05:00,130.9,24.95,462051,53.1,54.1,46.8,42.0,233,234,455,449,49.92,1595.0,0,0,1,11528.17245,0.2575107296137339,0.2604425160068119,0.2564102564102564,0.2524326785204651,0.13186813186813187,0.1305898175352173,0.133630289532294,0.13225056917229683,134.0,134.3,133.0,20.21,26.62,24.95,466284.0,464548.0,461917.0,9423.59964,12366.26776,11524.82915,52.6,52.9,50.5,51.7,54.7,54.0,45.4,43.7,46.4,47.0,45.9,45.2,验证集,0.8501177631717437,-1.2980548993588532,-0.08354225846617347,-1.3425887902716236,-1.1286129085565086,-0.9197195583143076,-1.0288386746224691,-2.7283624673933295,0.5773710171405768,-0.011383585724467004,-0.9696635988813402,-0.7400911276421539,1.388786681762156,1.4410355078691832,1.215720704257875,-1.8190955821008608,-1.115408186298471,-1.2992738436981075,0.10568279510266677,0.028024199831156303,-0.08963413026472955,-1.8598302218424767,-1.1376512468496196,-1.3447571176556872,-1.2324326552994933,-1.170482603688933,-1.6682541828451436,-1.4148539407673415,-0.7964033409299871,-0.9412421603417626,-1.5213193616332188,-2.1203121405401513,-1.1718783980027951,-0.963980029743447,-1.3527484902719797,-1.6005573368051356,-0.6516283829712562,0.01046970643453985,0.9976274119027316,2.0192368551096584
2024-05-06 00:06:00,133.2,25.25,454478,51.0,54.0,42.2,45.0,255,226,469,469,50.0,1546.5,0,1,0,11475.5695,0.23529411764705882,0.2522018003657167,0.26548672566371684,0.2579109760341608,0.1279317697228145,0.1291491444527532,0.1279317697228145,0.13152113364317555,130.9,133.7,132.9,24.95,22.47,24.76,462051.0,448485.0,464356.0,11528.17245,10077.45795,11497.45456,53.1,53.8,54.5,54.1,50.3,52.4,46.8,46.9,46.5,42.0,44.6,47.0,验证集,1.2496395771208304,-1.2651092196583382,-0.4221493468847049,-1.355503232287985,-1.5639561312477719,-0.9403392751422595,-2.646580202746898,-1.6695143145778704,-0.03703425918779575,0.39368048181979154,-1.1673830117133994,-0.8392354613117082,0.8502905606578683,1.336816112816955,1.1983489886619874,-1.2984802897256829,-1.5712393227622001,-1.3201447126484338,-0.08357256614524876,-0.6900713562598786,0.019387553177370228,-1.3430577555853223,-1.699695922550475,-1.3514798911586066,-1.128778196319496,-0.9839071800712421,-0.8390281113931747,-0.9199541050166936,-1.7036758735525184,-1.2712008606101728,-1.0289660192395063,-0.9945911725517913,-1.1366773781946289,-2.728960709246146,-1.8116996468499007,-0.9649789192200019,0.057919956722972295,-0.37019321891207824,3.089572767823733,1.4011156159612594
2024-05-06 00:07:00,132.5,28.27,453498,52.5,54.0,46.1,45.2,224,224,454,473,50.0,1616.6,0,1,0,12820.388459999998,0.26785714285714285,0.2561864520776412,0.26785714285714285,0.258385059472846,0.13215859030837004,0.13063283756640223,0.12684989429175475,0.129241342916273,133.2,134.0,134.3,25.25,20.21,26.62,454478.0,466284.0,464548.0,11475.5695,9423.59964,12366.26776,51.0,52.6,52.9,54.0,51.7,54.7,42.2,45.4,43.7,45.0,47.0,45.9,验证集,1.1280459815711095,-0.9334560440064874,-0.46596750965377404,-1.0253394965769007,-1.2529966864682984,-0.9403392751422595,-1.2750167332500983,-1.5989244377235055,0.26005050174346644,0.42873410304958365,-0.9637594868316094,-1.1491029184083892,1.249819940832015,1.388925810343069,1.441553007004429,-1.2655299547652286,-1.819475074185821,-1.115829890292606,-0.4221576950681083,0.10563198700503643,0.027969825920659754,-1.355974275305969,-1.8602586657686453,-1.1381128832893832,-1.5641269240354845,-1.2326744115614963,-1.1707185399739626,-0.9405749315063042,-1.4149982495362576,-0.7968852289743327,-2.6466984299617042,-1.5222728762963358,-2.1223059328232656,-1.6699723015445265,-0.9644052039368145,-1.3533879521886958,-0.3258424169989819,-0.40315551569041225,1.2288094725388299,1.8373287377025729
2024-05-06 00:08:00,135.2,21.36,456757,52.0,55.6,43.9,44.9,239,226,443,459,49.41,1612.9,0,0,1,9756.32952,0.2510460251046025,0.25639565709856166,0.26548672566371684,0.26063494697847067,0.13544018058690746,0.13196980072241032,0.13071895424836602,0.1297441081249206,132.5,130.9,133.7,28.27,24.95,22.47,453498.0,462051.0,448485.0,12820.388459999998,11528.17245,10077.45795,52.5,53.1,53.8,54.0,54.1,50.3,46.1,46.8,46.9,45.2,42.0,44.6,验证集,1.5970498501200387,-1.6923048664416824,-0.32024976224112467,-1.7775903021941457,-1.3566498347281228,-0.6104238058950332,-2.048719203222653,-1.704809253005053,0.2756482573615509,0.5950902715977435,-0.780273327895479,-1.080767445822282,1.1282240425181453,0.850458935906577,1.3373227134290933,-0.933829916163322,-1.2988390291645984,-1.571693606839211,-0.4659730161224332,-0.08360405165108949,-0.6900356275973594,-1.0257574221154249,-1.3434555931335768,-1.700208971080666,-1.253163547095493,-1.1290213984405566,-0.9841426738972698,-0.9405749315063042,-0.9201223226512416,-1.704271654712461,-1.2751426904363612,-1.0297699528014281,-0.9958732989619669,-1.5993730743644177,-2.7296019600057453,-1.8124168093335142,-0.3739581627926431,-0.3632572684398036,1.5985609506219136,1.8425023419844635
2024-05-06 00:09:00,133.3,27.41,448974,51.4,49.4,42.6,46.8,217,262,464,456,49.89,1535.0,0,0,1,12306.37734,0.2764976958525346,0.25764114221501455,0.22900763358778625,0.25684969683652387,0.12931034482758622,0.13134180346276203,0.13157894736842105,0.13014197103273006,135.2,133.2,134.0,21.36,25.25,20.21,456757.0,454478.0,466284.0,9756.32952,11475.5695,9423.59964,52.0,51.0,52.6,55.6,54.0,51.7,43.9,42.2,45.4,44.9,45.0,47.0,验证集,1.2670100907707949,-1.0279003258146302,-0.6682464569673138,-1.1515333089962603,-1.4810336126399126,-1.8888462492280345,-2.505907026388252,-1.0342054228885957,0.36850822977960374,0.3152097402216563,-0.8664602990752471,-1.0266902158111255,1.5972367931573623,1.2499666169401011,1.3894378602167612,-1.6927859647524528,-1.2658873807455335,-1.8199471006694101,-0.320264718861163,-0.4221546117131829,0.10556787530790257,-1.778129251522972,-1.3563728778483162,-1.860786401505442,-1.3568180060754902,-1.5643640535485033,-1.2329104953328596,-0.6106417076725384,-0.9407421529381176,-1.4155577919776012,-2.048840799912197,-2.647993844284696,-1.5238885960844515,-1.705271915134581,-1.6704839063643868,-0.9649789192200019,-0.5457730748380255,-0.5953827355378186,2.1712689515391284,1.0618085888185287
