电场,振打频率组,样本数,中位振打频率_次_分钟,等效振打周期_s,峰值数量,峰值发生概率,平均相对峰高_mg_Nm3,最大潜在峰值_mg_Nm3
电场1,低,2507,0.2406279067541198,249.3476372269225,129,0.05145592341443957,0.4316441070291057,50.26836857576581
电场1,中低,2507,0.2503402540208504,239.67380010328944,118,0.04706820901475867,0.43577550909025486,50.268120267154686
电场1,中高,2505,0.2656636040799244,225.84952954996842,122,0.048702594810379245,0.4317205764883837,50.269272661201846
电场1,高,2506,0.290299621947237,206.6830111508213,96,0.03830806065442937,0.4329499572458084,50.27678063996882
电场2,低,2507,0.2405485774839114,249.42986829349667,147,0.05863581970482649,0.4336157844679704,50.26836857576581
电场2,中低,2506,0.2503470642748429,239.66728019677976,120,0.047885075818036714,0.4326157819957885,50.268120267154686
电场2,中高,2506,0.2656212885590652,225.88550912272993,97,0.038707102952913006,0.43126515787209013,50.26943691561913
电场2,高,2506,0.29149057298428793,205.83856069758437,101,0.04030327214684756,0.43414427363075364,50.27678063996882
电场3,低,2507,0.1304504088767173,459.9448979627442,99,0.03948942959712804,0.4286936917544692,50.26661594743887
电场3,中低,2506,0.1327903780613875,451.839966689926,116,0.04628890662410216,0.42997742491953206,50.269272661201846
电场3,中高,2506,0.1364244725704406,439.80378937525273,116,0.04628890662410216,0.43247807719151016,50.26943691561913
电场3,高,2506,0.14593969052884165,411.1287325783548,134,0.053471667996807665,0.43918800282098347,50.27678063996882
电场4,低,2507,0.1303047407329483,460.45907203765046,99,0.03948942959712804,0.4252541268365566,50.26943691561913
电场4,中低,2506,0.1327832971390085,451.86406191726854,130,0.05187549880287311,0.4287120560952114,50.26866975567786
电场4,中高,2506,0.1363968466779216,439.89286747720786,111,0.044293695131683956,0.4359036262932137,50.26745518843418
电场4,高,2506,0.14603434927138553,410.8622409683761,125,0.04988028731045491,0.4409494219107346,50.27678063996882
