论文工况,原始工况,变量,变量类型,扰动方向,扰动步长,原值,扰动后值,边界满足,分组约束满足,排放约束满足,基准预测电耗_kW,扰动后预测电耗_kW,电耗变化_kW,基准预测浓度_mg_Nm3,扰动后预测浓度_mg_Nm3,浓度变化_mg_Nm3,减排边际效益_mg_Nm3每kW,节能边际效益_kW每mg_Nm3,达标局部节能量_kW,节能方向类型,是否节能减排双赢
工况A（低温轻载）,工况4,U1,电压,-,1.0,69.86470652166884,68.86470652166884,1,1,0,2074.5660299487167,2062.820389006071,-11.745640942645878,9.987577999998948,10.567975859691604,0.5803978596926562,,,,无达标节能方向,0
工况A（低温轻载）,工况4,U1,电压,+,1.0,69.86470652166884,70.86470652166884,1,1,1,2074.5660299487167,2086.470450480535,11.904420531818232,9.987577999998948,9.431372412799536,-0.5562055871994112,0.04672260911085763,,,无达标节能方向,0
工况A（低温轻载）,工况4,U2,电压,-,1.0,68.11896486384305,67.11896486384305,1,1,0,2074.5660299487167,2063.2118287354388,-11.354201213277975,9.987577999998948,10.552962888935562,0.5653848889366149,,,,无达标节能方向,0
工况A（低温轻载）,工况4,U2,电压,+,1.0,68.11896486384305,69.11896486384305,1,1,1,2074.5660299487167,2086.0882332655815,11.522203316864761,9.987577999998948,9.444789774322851,-0.5427882256760963,0.0471080235914281,,,无达标节能方向,0
工况A（低温轻载）,工况4,U3,电压,-,1.0,58.04636189285444,57.04636189285444,1,1,0,2074.5660299487167,2064.4654487275366,-10.100581221180164,9.987577999998948,10.678284661024927,0.6907066610259793,,,,无达标节能方向,0
工况A（低温轻载）,工况4,U3,电压,+,1.0,58.04636189285444,59.04636189285444,1,1,1,2074.5660299487167,2084.8809135207034,10.314883571986684,9.987577999998948,9.330699751103902,-0.6568782488950458,0.0636825655191112,,,无达标节能方向,0
工况A（低温轻载）,工况4,U4,电压,-,1.0,58.2,57.2,1,1,0,2074.5660299487167,2064.6972258488413,-9.868804099875433,9.987577999998948,10.677413354310682,0.6898353543117342,,,,无达标节能方向,0
工况A（低温轻载）,工况4,U4,电压,+,1.0,58.2,59.2,0,0,0,2074.5660299487167,,,9.987577999998948,,,,,,不可用,0
工况A（低温轻载）,工况4,tau1,振打周期,-,5.0,290.0,285.0,1,1,1,2074.5660299487167,2077.85862037427,3.292590425553044,9.987577999998948,9.988922213832005,0.0013442138330574949,,,,无达标节能方向,0
工况A（低温轻载）,工况4,tau1,振打周期,+,5.0,290.0,295.0,0,0,0,2074.5660299487167,,,9.987577999998948,,,,,,不可用,0
工况A（低温轻载）,工况4,tau2,振打周期,-,5.0,289.0,284.0,1,1,1,2074.5660299487167,2077.7591346984314,3.193104749714621,9.987577999998948,9.978593408251609,-0.00898459174733901,0.002813747888521977,,,无达标节能方向,0
工况A（低温轻载）,工况4,tau2,振打周期,+,5.0,289.0,294.0,0,0,0,2074.5660299487167,,,9.987577999998948,,,,,,不可用,0
工况A（低温轻载）,工况4,tau3,振打周期,-,5.0,451.0,446.0,1,1,1,2074.5660299487167,2075.7536421364507,1.1876121877339756,9.987577999998948,9.995380600704117,0.007802600705169027,,,,无达标节能方向,0
工况A（低温轻载）,工况4,tau3,振打周期,+,5.0,451.0,456.0,1,1,1,2074.5660299487167,2073.404461887906,-1.1615680608106231,9.987577999998948,9.979952400970383,-0.0076255990285645225,,,1.1615680608106231,节能减排双赢,1
工况A（低温轻载）,工况4,tau4,振打周期,-,5.0,434.0,429.0,1,1,1,2074.5660299487167,2076.2397522286565,1.6737222799397387,9.987577999998948,9.957702491810627,-0.02987550818832041,0.01784974039384602,,,无达标节能方向,0
工况A（低温轻载）,工况4,tau4,振打周期,+,5.0,434.0,439.0,1,1,0,2074.5660299487167,2072.9304334610306,-1.6355964876861435,9.987577999998948,10.016859565048284,0.029281565049336322,,,,无达标节能方向,0
工况B（中温重载）,工况5,U1,电压,-,1.0,64.05929648669947,63.059296486699466,1,1,0,1952.973656086211,1942.149795763894,-10.823860322316932,9.990478697544027,10.594031557158663,0.603552859614636,,,,无达标节能方向,0
工况B（中温重载）,工况5,U1,电压,+,1.0,64.05929648669947,65.05929648669947,1,1,1,1952.973656086211,1963.9562959977,10.98263991148906,9.990478697544027,9.412620036686858,-0.577858660857169,0.05261564300698457,,,无达标节能方向,0
工况B（中温重载）,工况5,U2,电压,-,1.0,67.30312073680086,66.30312073680086,1,1,0,1952.973656086211,1941.7565184024752,-11.2171376837357,9.990478697544027,10.623619987842384,0.6331412902983562,,,,无达标节能方向,0
工况B（中温重载）,工况5,U2,电压,+,1.0,67.30312073680086,68.30312073680086,1,1,1,1952.973656086211,1964.3587958735334,11.385139787322487,9.990478697544027,9.386433184462396,-0.6040455130816316,0.05305560795610474,,,无达标节能方向,0
工况B（中温重载）,工况5,U3,电压,-,1.0,57.877665131955226,56.877665131955226,1,1,0,1952.973656086211,1942.909226977465,-10.064429108745799,9.990478697544027,10.81714021436091,0.8266615168168823,,,,无达标节能方向,0
工况B（中温重载）,工况5,U3,电压,+,1.0,57.877665131955226,58.877665131955226,1,1,1,1952.973656086211,1963.2523875457632,10.278731459552318,9.990478697544027,9.214216276972257,-0.7762624205717703,0.0755212278505795,,,无达标节能方向,0
工况B（中温重载）,工况5,U4,电压,-,1.0,55.27593982737299,54.27593982737299,1,1,0,1952.973656086211,1943.6225936773506,-9.351062408860344,9.990478697544027,10.776551633605536,0.7860729360615082,,,,无达标节能方向,0
工况B（中温重载）,工况5,U4,电压,+,1.0,55.27593982737299,56.27593982737299,1,1,1,1952.973656086211,1962.5017810931195,9.528125006908567,9.990478697544027,9.248946596372301,-0.7415321011717264,0.07782560583893085,,,无达标节能方向,0
工况B（中温重载）,工况5,tau1,振打周期,-,5.0,290.0,285.0,1,1,1,1952.973656086211,1956.266246511764,3.292590425553044,9.990478697544027,9.991823301777808,0.0013446042337807995,,,,无达标节能方向,0
工况B（中温重载）,工况5,tau1,振打周期,+,5.0,290.0,295.0,0,0,0,1952.973656086211,,,9.990478697544027,,,,,,不可用,0
工况B（中温重载）,工况5,tau2,振打周期,-,5.0,289.0,284.0,1,1,1,1952.973656086211,1956.1667608359253,3.1931047497143936,9.990478697544027,9.981491496396968,-0.00898720114705931,0.0028145650868056137,,,无达标节能方向,0
工况B（中温重载）,工况5,tau2,振打周期,+,5.0,289.0,294.0,0,0,0,1952.973656086211,,,9.990478697544027,,,,,,不可用,0
工况B（中温重载）,工况5,tau3,振打周期,-,5.0,479.0,474.0,1,1,1,1952.973656086211,1954.0257928387368,1.0521367525259393,9.990478697544027,9.997392925530725,0.006914227986698052,,,,无达标节能方向,0
工况B（中温重载）,工况5,tau3,振打周期,+,5.0,479.0,484.0,1,1,1,1952.973656086211,1951.9432576963404,-1.03039838987047,9.990478697544027,9.983711960252304,-0.006766737291723501,,,1.03039838987047,节能减排双赢,1
