论文工况,变量,最佳减排方向,减排边际效益_mg_Nm3每kW,最佳节能方向,节能边际效益_kW每mg_Nm3,存在达标节能方向,最佳达标节能方向,达标局部节能量_kW,达标节能类型,减排优先级,节能优先级
工况A（低温轻载）,U1,+,0.04672260911085763,无,,0,无,,无,3.0,
工况A（低温轻载）,U2,+,0.0471080235914281,无,,0,无,,无,2.0,
工况A（低温轻载）,U3,+,0.0636825655191112,无,,0,无,,无,1.0,
工况A（低温轻载）,U4,无,,无,,0,无,,无,,
工况A（低温轻载）,tau1,无,,无,,0,无,,无,,
工况A（低温轻载）,tau2,-,0.002813747888521977,无,,0,无,,无,5.0,
工况A（低温轻载）,tau3,无,,无,,0,+,1.1615680608106231,节能减排双赢,,
工况A（低温轻载）,tau4,-,0.01784974039384602,无,,0,无,,无,4.0,
工况B（中温重载）,U1,+,0.05261564300698457,无,,0,无,,无,4.0,
工况B（中温重载）,U2,+,0.05305560795610474,无,,0,无,,无,3.0,
工况B（中温重载）,U3,+,0.0755212278505795,无,,0,无,,无,2.0,
工况B（中温重载）,U4,+,0.07782560583893085,无,,0,无,,无,1.0,
工况B（中温重载）,tau1,无,,无,,0,无,,无,,
工况B（中温重载）,tau2,-,0.0028145650868056137,无,,0,无,,无,6.0,
工况B（中温重载）,tau3,无,,无,,0,+,1.03039838987047,节能减排双赢,,
工况B（中温重载）,tau4,-,0.01785858836543639,无,,0,无,,无,5.0,
