工况类型,典型工况,控制变量,单位,10标准推荐值,5标准推荐值,调整量
高入口浓度,工况6,U1,kV,63.156852098601206,63.38123096583601,0.2243788672348046
高入口浓度,工况6,U2,kV,62.22797508115573,62.20472756412522,-0.0232475170305122
高入口浓度,工况6,U3,kV,53.79006814931431,58.12745889076606,4.337390741451749
高入口浓度,工况6,U4,kV,54.28349803659462,58.556751297484894,4.273253260890272
高入口浓度,工况6,tau1,s,290.0,290.0,0.0
高入口浓度,工况6,tau2,s,289.0,289.0,0.0
高入口浓度,工况6,tau3,s,506.0,506.0,0.0
高入口浓度,工况6,tau4,s,510.0,490.0,-20.0
高负荷重载,工况5,U1,kV,64.05929648669947,72.16869187877191,8.109395392072443
高负荷重载,工况5,U2,kV,67.30312073680086,64.40849122907078,-2.8946295077300874
高负荷重载,工况5,U3,kV,57.877665131955226,59.65944181188401,1.7817766799287824
高负荷重载,工况5,U4,kV,55.27593982737299,57.78650781242074,2.51056798504775
高负荷重载,工况5,tau1,s,290.0,290.0,0.0
高负荷重载,工况5,tau2,s,289.0,289.0,0.0
高负荷重载,工况5,tau3,s,479.0,506.0,27.0
高负荷重载,工况5,tau4,s,467.0,443.0,-24.0
